snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1563600244,0,261,49.00625,2.56102,8448,15,0000
1563600275,0,250,49.00577,2.55900,8448,33,0000
1563600284,0,264,49.00565,2.55802,8448,31,0000
1563600303,0,264,49.00555,2.55613,40818,16,0000
1563600309,0,264,49.00551,2.55547,40818,17,0000
1563600473,0,343,49.01342,2.54939,40651,15,0000
1563600479,0,345,49.01372,2.54926,40651,15,0000
1563600516,0,354,49.01642,2.54879,40651,15,0000
1563600533,0,357,49.01768,2.54865,40651,16,0000
1563600542,0,354,49.01833,2.54858,40651,16,0000
1563600551,0,354,49.01910,2.54846,40651,17,0000
1563600601,0,84,49.02046,2.55179,40651,34,0000
1563600624,0,84,49.02058,2.55446,40651,16,0000
1563600653,0,357,49.02139,2.55645,40651,30,0000
1563600712,0,357,49.02216,2.55636,40651,14,0000
1563600721,0,357,49.02243,2.55634,40651,16,0000
1563600733,0,351,49.02280,2.55629,40651,17,2362
1563600744,0,306,49.02295,2.55602,40651,14,2362
1563600752,0,270,49.02290,2.55566,40651,19,2362
1563600764,0,264,49.02282,2.55386,40651,41,2362
1563600770,0,264,49.02265,2.55071,40651,76,2362
1563600782,0,264,49.02228,2.54381,40651,115,2362
1563600793,0,264,49.02156,2.53087,40651,160,5632
1563600806,950,265,49.02076,2.51500,40651,162,5632
1563600813,1275,265,49.02040,2.50805,40651,158,5632
1563600820,1575,265,49.02007,2.50185,40651,153,5632
1563600831,2225,264,49.01939,2.49002,40651,145,5632
1563600842,2725,265,49.01871,2.47707,40651,142,5632
1563600851,2950,265,49.01834,2.47059,40651,143,5632
1563600860,3375,265,49.01774,2.45870,40651,145,5632
1563600868,3625,265,49.01743,2.45242,40651,144,5632
1563600881,3900,265,49.01681,2.44092,40651,155,5632
1563600902,4300,295,49.02002,2.41511,40651,192,5632
1563600909,4425,315,49.02537,2.40463,40651,218,5632
1563600915,4500,324,49.03068,2.39820,40651,235,5632
1563600921,4650,327,49.03610,2.39284,40651,245,5632
1563600929,4825,329,49.04227,2.38721,40651,255,5632
1563600936,5100,330,49.05194,2.37875,40651,266,5632
1563600943,5325,330,49.05824,2.37334,40651,272,5632
1563600954,5900,330,49.07151,2.36184,40651,277,5632
1563600967,6475,329,49.08472,2.35023,40651,283,5632
1563600979,7125,328,49.09900,2.33734,40651,287,5632
1563600991,7775,328,49.11264,2.32466,40651,290,5632
1563601002,8425,328,49.12611,2.31204,40651,291,5632
1563601015,9100,337,49.14064,2.30106,40651,297,5632
1563601023,9500,341,49.15102,2.29535,40651,302,5632
1563601029,9725,341,49.16125,2.29016,40651,308,5632
1563601049,10025,341,49.18680,2.27734,40651,335,5632
1563601060,10075,341,49.20378,2.26882,40651,357,5632
1563601071,10300,342,49.22415,2.25863,40651,373,5632
1563601085,10750,342,49.24356,2.24909,40651,378,5632
1563601097,11525,342,49.26483,2.23861,40651,375,5632
1563601106,12425,342,49.28276,2.22979,40651,364,5632
1563601141,15100,342,49.33470,2.20410,40651,335,5632
1563601172,16725,338,49.38226,2.17952,40651,330,5632
1563601183,17100,331,49.39369,2.17096,40651,327,5632
1563601189,17325,327,49.40212,2.16315,40651,324,5632
1563601195,17600,327,49.41017,2.15513,40651,324,5632
1563601201,17825,327,49.41742,2.14790,40651,325,5632
1563601234,18950,327,49.45994,2.10603,40651,337,5632
1563601293,21075,327,49.54126,2.02802,40651,351,5632
1563601356,23175,327,49.62920,1.94339,40651,361,5632
1563601420,25050,320,49.71467,1.84140,40651,371,5632
1563601483,26750,321,49.80037,1.73458,40651,386,5632
1563601546,27950,321,49.89134,1.62100,40651,411,5632
1563601609,26500,320,49.98477,1.50404,40651,421,5632
1563601669,24050,310,50.06921,1.38383,40651,405,5632
1563601732,22050,311,50.14588,1.24695,40651,385,5632
1563601793,20300,311,50.21427,1.12580,1782,365,5632
1563601857,18450,311,50.28397,1.00207,1782,349,5632
1563601918,16675,311,50.34806,0.88863,1782,342,5632
1563601953,15700,312,50.38218,0.82962,1782,337,5632
1563602001,14550,311,50.43361,0.73876,1782,333,5632
1563602011,14350,304,50.44249,0.71686,1782,319,5632
1563602069,13375,311,50.48180,0.61123,10363,292,5632
1563602075,13275,321,50.48863,0.60208,10363,294,5632
1563602084,13125,334,50.49912,0.59276,10363,298,5632
1563602094,13025,335,50.51317,0.58264,10363,294,5632
1563602103,13000,335,50.52049,0.57745,4048,287,5632
1563602137,12675,334,50.56234,0.54709,4048,266,5632
1563602170,12150,334,50.59872,0.51961,4048,262,5632
1563602204,11675,334,50.63525,0.49243,4048,257,5632
1563602222,11275,334,50.65447,0.47820,4048,259,5632
1563602234,11050,334,50.66647,0.46930,4048,258,5632
1563602248,10775,334,50.67947,0.45975,4048,258,5632
1563602259,10550,334,50.69234,0.45022,4048,257,5632
1563602270,10325,335,50.70628,0.43991,4048,255,5632
1563602284,10200,335,50.71899,0.43060,4048,252,5632
1563602295,10100,334,50.73072,0.42191,4048,252,5632
1563602307,10025,334,50.74461,0.41154,4048,250,5632
1563602318,10000,334,50.75711,0.40219,4048,251,5632
1563602332,10000,334,50.76924,0.39306,4048,252,5632
1563602342,10000,334,50.78110,0.38408,4048,255,5632
1563602353,10000,334,50.79446,0.37406,4048,255,5632
1563602365,10000,334,50.80724,0.36448,4048,256,5632
1563602379,10000,335,50.82117,0.35416,4048,255,5632
1563602392,10000,335,50.83374,0.34496,4048,255,5632
1563602403,10000,335,50.84696,0.33524,4048,255,5632
1563602416,10000,334,50.85930,0.32600,4048,256,5632
1563602426,10000,334,50.87237,0.31615,4048,259,5632
1563602438,10000,334,50.88538,0.30635,4048,260,5632
