snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1546331522,0,36,52.30690,4.77344,40039,10,0000
1546331544,0,56,52.30672,4.77318,40039,10,0000
1546331753,0,104,52.30644,4.77364,728,11,7337
1546331765,0,90,52.30642,4.77411,728,17,7337
1546331771,0,90,52.30644,4.77442,728,21,7337
1546331785,0,70,52.30650,4.77550,728,25,7337
1546331794,0,14,52.30686,4.77591,728,29,7337
1546331800,0,5,52.30713,4.77592,728,29,7337
1546331809,0,2,52.30753,4.77596,728,31,7337
1546331815,0,5,52.30791,4.77600,728,33,7337
1546331824,0,5,52.30868,4.77607,728,16,7337
1546331830,0,2,52.30906,4.77610,728,16,7337
1546331836,0,2,52.30960,4.77615,728,17,7337
1546331842,0,2,52.31006,4.77619,728,18,7337
1546331848,0,2,52.31045,4.77623,728,18,7337
1546331855,0,2,52.31103,4.77627,728,19,7337
1546331864,0,2,52.31188,4.77636,728,19,7337
1546331872,0,2,52.31259,4.77642,728,20,7337
1546331878,0,2,52.31304,4.77646,728,20,7337
1546331885,0,2,52.31356,4.77652,728,17,7337
1546331891,0,2,52.31392,4.77655,728,34,7337
1546331897,0,348,52.31433,4.77648,728,16,7337
1546331904,0,320,52.31487,4.77603,728,16,7337
1546331910,0,315,52.31506,4.77574,728,34,7337
1546331919,0,312,52.31546,4.77507,728,16,7337
1546331929,0,278,52.31578,4.77395,728,30,7337
1546331935,0,270,52.31579,4.77356,728,23,7337
1546331941,0,270,52.31578,4.77310,728,23,7337
1546331951,0,264,52.31576,4.77248,728,24,7337
1546331963,0,267,52.31574,4.77195,728,14,7337
1546331973,0,267,52.31573,4.77158,728,15,7337
1546331997,0,267,52.31570,4.77048,728,20,7337
1546332004,0,264,52.31569,4.77003,728,23,7337
1546332017,0,267,52.31564,4.76905,728,27,7337
1546332024,0,275,52.31565,4.76858,728,29,7337
1546332045,0,267,52.31556,4.76650,728,16,7337
1546332055,0,267,52.31551,4.76492,728,17,7337
1546332071,0,267,52.31544,4.76286,728,19,7337
1546332078,0,275,52.31543,4.76189,728,20,7337
1546332089,0,267,52.31533,4.76006,728,22,7337
1546332096,0,267,52.31530,4.75905,728,23,7337
1546332107,0,267,52.31524,4.75706,728,23,7337
1546332164,0,267,52.31497,4.74928,728,19,7337
1546332189,0,267,52.31486,4.74596,728,17,7337
1546332195,0,264,52.31482,4.74525,728,15,7337
1546332209,0,267,52.31479,4.74415,728,27,7337
1546332217,0,284,52.31480,4.74350,728,22,7337
1546332223,0,317,52.31495,4.74316,728,25,7337
1546332232,0,348,52.31525,4.74294,728,27,7337
1546332240,0,5,52.31569,4.74297,728,27,7337
1546332252,0,2,52.31637,4.74301,728,33,7337
1546332263,0,2,52.31727,4.74309,728,18,7337
1546332275,0,2,52.31826,4.74329,728,20,7337
1546332282,0,2,52.31886,4.74323,728,21,7337
1546332291,0,2,52.31970,4.74333,728,16,7337
1546332299,0,329,52.32015,4.74313,728,31,7337
1546332307,0,286,52.32033,4.74258,728,34,7337
1546332314,0,270,52.32035,4.74195,728,33,7337
1546332320,0,272,52.32039,4.74103,728,16,7337
1546332327,0,272,52.32041,4.74026,728,17,7337
1546332335,0,272,52.32043,4.73946,728,18,7337
1546332341,0,272,52.32048,4.73831,728,19,7337
1546332348,0,272,52.32052,4.73728,728,21,7337
1546332354,0,272,52.32055,4.73637,728,21,7337
1546332360,0,272,52.32057,4.73538,728,21,7337
1546332368,0,289,52.32068,4.73419,728,17,7337
1546332375,0,306,52.32096,4.73346,728,18,7337
1546332384,0,320,52.32153,4.73267,728,19,7337
1546332391,0,317,52.32195,4.73206,728,20,7337
1546332399,0,320,52.32255,4.73122,728,22,7337
1546332411,0,320,52.32358,4.72977,728,25,7337
1546332417,0,317,52.32408,4.72905,728,25,7337
1546332435,0,317,52.32575,4.72673,728,29,7337
1546332456,0,309,52.32742,4.72403,728,22,7337
1546332462,0,312,52.32781,4.72332,728,23,7337
1546332468,0,309,52.32824,4.72253,728,24,7337
1546332480,0,312,52.32912,4.72090,728,27,7337
1546332486,0,312,52.32968,4.71987,728,28,7337
1546332492,0,312,52.33016,4.71897,728,28,7337
1546332504,0,312,52.33103,4.71739,728,22,7337
1546332513,0,300,52.33150,4.71635,728,17,7337
1546332522,0,250,52.33146,4.71525,728,18,7337
1546332530,0,225,52.33119,4.71464,728,16,7337
1546332539,0,222,52.33065,4.71388,728,18,7337
1546332546,0,222,52.33013,4.71314,728,33,7337
1546332552,0,222,52.32986,4.71275,728,15,7337
1546332558,0,219,52.32951,4.71225,728,17,7337
1546332566,0,222,52.32908,4.71163,728,30,7337
1546332574,0,225,52.32889,4.71134,728,24,7337
1546332583,0,253,52.32869,4.71076,728,21,7337
1546332590,0,258,52.32865,4.71045,728,19,7337
1546332600,0,270,52.32867,4.70995,728,18,7337
1546332609,0,275,52.32869,4.70966,728,15,7337
1546332616,0,278,52.32872,4.70940,728,18,7337
1546332623,0,278,52.32874,4.70911,728,16,7337
1546332631,0,315,52.32887,4.70884,728,17,7337
1546332639,0,357,52.32910,4.70886,728,18,7337
1546332741,0,2,52.32952,4.70892,728,17,7337
1546332749,0,2,52.33079,4.70899,728,53,7337
1546332756,0,2,52.33389,4.70928,728,96,7337
1546332762,0,2,52.33713,4.70962,728,125,7337
1546332781,0,3,52.34967,4.71077,728,157,7337
1546332787,225,4,52.35395,4.71125,728,151,7337
1546332799,900,3,52.36205,4.71227,728,143,7337
1546332811,1550,3,52.36964,4.71306,728,138,7337
1546332817,1700,2,52.37345,4.71337,728,145,7337
1546332829,2025,1,52.38194,4.71390,728,158,7337
1546332836,2175,2,52.38672,4.71415,728,168,7337
1546332849,2450,1,52.39897,4.71481,728,194,7337
1546332855,2625,1,52.40502,4.71510,728,205,7337
1546332861,2800,1,52.41014,4.71527,728,212,7337
1546332882,3200,329,52.43034,4.70301,20679,229,7337
1546332907,3700,324,52.45253,4.67796,9785,231,7337
1546332919,3925,324,52.46242,4.66644,9785,233,7337
1546332939,4325,325,52.48090,4.64533,12815,233,7337
1546332952,4550,326,52.49067,4.63474,6082,234,7337
1546332962,4725,327,52.49881,4.62601,6082,236,7337
1546332968,4825,327,52.50421,4.62028,6082,236,7337
1546332977,5050,327,52.51432,4.60947,6082,239,7337
1546332988,5325,327,52.52325,4.60007,6082,240,7337
1546333008,6325,328,52.54033,4.58214,6082,244,7337
1546333022,7475,327,52.55580,4.56584,6082,241,7337
1546333037,8500,327,52.57023,4.55054,10321,235,7337
1546333051,9100,327,52.58387,4.53610,10321,242,7337
1546333063,9450,327,52.59746,4.52156,14022,261,7337
1546333079,9775,317,52.60952,4.50604,14022,275,7337
1546333095,10650,300,52.62312,4.47175,2340,283,7337
1546333102,11050,299,52.62698,4.46061,2340,281,7337
1546333111,11625,299,52.63261,4.44428,2340,279,7337
1546333123,12250,299,52.64025,4.42215,2340,280,7337
1546333156,13800,299,52.66189,4.35953,2340,288,7337
1546333185,15075,299,52.68200,4.30201,2340,296,7337
1546333226,16750,300,52.70975,4.22330,40712,304,7337
1546333265,18225,300,52.73773,4.14389,40712,314,7337
1546333328,20750,300,52.78400,4.01161,40712,320,7337
1546333395,22975,299,52.83366,3.86864,40712,331,7337
1546333449,24575,283,52.87054,3.74461,40712,345,7337
1546333476,25350,282,52.88045,3.67088,26612,351,7337
1546333565,27775,283,52.91277,3.44025,10316,359,7337
1546333632,29275,282,52.93841,3.25815,24316,370,7337
1546333702,30700,282,52.96537,3.06283,11621,378,7337
1546333745,31550,282,52.98253,2.93716,11621,382,7337
1546333834,33625,282,53.01634,2.68592,10045,377,7337
1546333915,35225,282,53.04680,2.45682,20330,374,7337
1546333964,35975,282,53.06484,2.31888,40861,373,7337
1546334052,35975,282,53.09595,2.07747,875,374,7337
1546334111,36000,281,53.11764,1.90847,875,374,7337
1546334173,36000,281,53.13972,1.73239,875,374,7337
1546334238,36000,281,53.16193,1.55456,875,374,7337
1546334302,35975,281,53.18402,1.37394,875,374,7337
1546334366,35975,281,53.20587,1.19508,875,375,7337
1546334428,36000,281,53.22694,1.01648,875,376,7337
1546334489,36000,281,53.24766,0.84102,40861,378,7337
1546334554,36000,280,53.26936,0.65447,8175,377,7337
1546334619,36000,280,53.29063,0.46845,8175,376,7337
1546334680,35975,280,53.31023,0.29615,8175,377,6272
1546334745,36000,280,53.33098,0.10931,8175,379,7337
1546334811,36000,280,53.35176,-0.08012,8175,381,7337
1546334873,36000,280,53.37126,-0.26093,5844,379,7337
1546334938,36000,280,53.39118,-0.44882,5844,376,7337
1546335003,35950,279,53.41081,-0.63477,5844,377,7337
1546335068,36000,279,53.43001,-0.82147,5844,381,7337
1546335133,36000,279,53.44914,-1.01123,5844,382,7337
1546335198,36000,279,53.46780,-1.19861,5844,380,7337
1546335263,35975,278,53.48643,-1.38824,5844,379,7337
1546335328,35975,278,53.50479,-1.57874,5844,381,7337
1546335393,35975,277,53.52260,-1.76807,5844,382,7337
1546335458,36000,277,53.54054,-1.95957,5844,383,7337
1546335523,36000,277,53.55798,-2.15136,5844,384,7337
1546335588,36000,277,53.57510,-2.34252,5844,383,7337
1546335653,35975,277,53.59195,-2.53423,5844,380,7337
1546335718,35975,277,53.60821,-2.72259,5844,383,7337
1546335783,36000,278,53.62459,-2.91582,5844,388,7337
1546335848,36025,277,53.64098,-3.11400,5844,388,7337
1546335913,36000,277,53.65667,-3.30705,5844,388,7337
1546335978,35275,277,53.67206,-3.50064,5844,392,7337
1546336043,33350,277,53.68753,-3.69900,5844,388,7337
1546336108,30425,277,53.70213,-3.89073,5844,385,7337
1546336173,27800,274,53.71623,-4.08213,5104,373,7337
1546336238,25175,272,53.72351,-4.27046,5104,366,7337
1546336303,22575,273,53.73027,-4.45407,5104,359,7337
1546336368,19900,265,53.72501,-4.63017,5104,355,7337
1546336433,17650,266,53.71596,-4.80840,5104,335,7337
1546336468,16550,266,53.71151,-4.89821,5104,327,7337
1546336503,15475,266,53.70708,-4.98654,5104,321,7337
1546336538,14425,266,53.70280,-5.07181,5104,318,7337
1546336573,13350,266,53.69824,-5.15970,5104,313,7337
1546336588,12575,248,53.69284,-5.19476,5104,325,7337
1546336598,12025,240,53.68611,-5.21505,5104,332,7337
1546336608,11450,238,53.67669,-5.23975,5104,337,7337
1546336618,11075,237,53.66954,-5.25821,5104,337,7337
1546336633,10725,237,53.65839,-5.28660,5104,337,7337
1546336648,10525,242,53.64487,-5.32335,5104,323,7337
1546336663,10325,243,53.63251,-5.36258,5104,329,7337
1546336678,9800,243,53.62203,-5.39550,5104,327,7337
1546336708,8350,243,53.59918,-5.46739,5918,330,7337
1546336723,8050,242,53.58907,-5.49889,5918,324,7337
1546336738,7825,241,53.57813,-5.53275,5918,315,7337
1546336753,7325,241,53.56789,-5.56449,5918,304,7337
1546336768,6625,243,53.55826,-5.59455,5918,296,7337
1546336783,5775,242,53.54806,-5.62629,5918,294,7337
1546336798,4975,242,53.53839,-5.65631,5918,294,7337
1546336808,4500,242,53.53239,-5.67491,5918,294,7337
