snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1546323850,0,87,49.00019,2.58430,40818,30,0000
1546323856,0,84,49.00021,2.58482,40818,15,0000
1546323862,0,84,49.00026,2.58565,40818,19,0000
1546323872,0,84,49.00034,2.58714,40818,23,0000
1546323905,0,84,49.00064,2.59276,40818,23,7650
1546323917,0,87,49.00073,2.59442,40818,16,7650
1546323925,0,84,49.00077,2.59514,40818,32,7650
1546323976,0,174,48.99896,2.59663,40818,13,7650
1546324068,0,174,48.99873,2.59666,40818,16,7650
1546324127,0,264,48.99732,2.58298,40818,120,7650
1546324135,0,264,48.99690,2.57480,40818,145,7650
1546324154,625,265,48.99582,2.55573,40818,140,7650
1546324166,1125,265,48.99526,2.54485,40818,138,7650
1546324172,1400,265,48.99497,2.53835,40818,138,7650
1546324178,1625,266,48.99469,2.53264,40818,139,7650
1546324190,2100,266,48.99427,2.52021,40818,142,7650
1546324196,2350,266,48.99403,2.51446,40818,142,7650
1546324202,2600,265,48.99376,2.50826,40818,141,7650
1546324209,2800,265,48.99344,2.50221,40818,142,7650
1546324219,3100,265,48.99288,2.48999,40818,153,7650
1546324227,3225,265,48.99255,2.48255,40818,163,7650
1546324238,3450,264,48.99171,2.46824,40818,178,7650
1546324245,3575,264,48.99125,2.46065,40818,186,7650
1546324255,3725,265,48.99037,2.44354,40818,209,7650
1546324263,3825,265,48.98990,2.43354,40818,219,7650
1546324274,4125,265,48.98897,2.41453,40818,241,7650
1546324280,4325,265,48.98836,2.40333,40818,249,7650
1546324287,4550,264,48.98776,2.39271,40818,254,7650
1546324298,5150,264,48.98645,2.37131,40818,261,7650
1546324310,5825,264,48.98511,2.34938,40818,263,7650
1546324326,6700,252,48.98134,2.32093,991,269,7650
1546324332,7050,243,48.97826,2.31147,991,272,7650
1546324340,7550,229,48.97119,2.29783,991,276,7650
1546324346,7825,219,48.96513,2.29043,991,280,7650
1546324353,8175,213,48.95782,2.28306,991,287,7650
1546324359,8475,212,48.95070,2.27619,991,289,7650
1546324365,8800,211,48.94353,2.26947,991,291,7650
1546324371,9100,211,48.93691,2.26318,991,293,7650
1546324386,9825,212,48.91933,2.24649,991,298,7650
1546324398,10275,212,48.90499,2.23283,991,305,7650
1546324409,10525,212,48.89112,2.21953,991,318,7650
1546324422,10825,212,48.87451,2.20353,991,334,7650
1546324435,11275,212,48.85835,2.18804,991,343,7650
1546324446,11875,212,48.84306,2.17353,991,344,7650
1546324458,12625,211,48.82622,2.15766,991,342,7650
1546324492,13850,212,48.78158,2.11523,991,359,7650
1546324524,15325,204,48.73334,2.07240,991,366,7650
1546324532,15525,196,48.72290,2.06747,991,373,7650
1546324540,15925,186,48.70853,2.06430,991,380,7650
1546324549,16350,184,48.69159,2.06203,991,383,7650
1546324556,16600,184,48.68074,2.06071,991,384,7650
1546324590,18025,184,48.61664,2.05285,991,391,7650
1546324650,20575,187,48.50897,2.03854,991,392,7650
1546324690,21800,189,48.43716,2.01993,4177,402,7650
1546324778,24750,194,48.27676,1.95986,4056,409,7650
1546324843,26400,194,48.15665,1.91224,4056,423,7650
1546324906,28000,194,48.03625,1.86465,4056,432,7650
1546324971,29325,194,47.90859,1.81443,4056,446,7650
1546325033,30775,194,47.78191,1.76486,2425,450,7650
1546325092,31900,194,47.66121,1.71778,2425,457,7650
1546325154,33575,194,47.53742,1.66985,40818,448,7650
1546325217,35050,194,47.41224,1.62154,40818,443,7650
1546325285,36425,194,47.27925,1.57056,40818,440,7650
1546325346,37325,194,47.15821,1.52414,40818,440,7650
1546325410,38100,194,47.03073,1.47553,40818,443,7650
1546325471,38675,204,46.91278,1.42167,40818,442,7650
1546325537,39000,209,46.79431,1.32735,40818,437,7650
1546325606,39000,209,46.67379,1.23026,40818,437,7650
1546325665,38975,208,46.57026,1.14711,40818,434,7650
1546325744,38950,208,46.43106,1.03586,7333,435,7650
1546325809,38975,208,46.31636,0.94476,7333,436,7650
1546325882,39000,208,46.18932,0.84430,1244,438,7650
1546325949,39000,208,46.06929,0.74962,23791,438,7650
1546326008,39025,208,45.96332,0.66668,23791,438,7650
1546326075,39000,208,45.84469,0.57431,23791,435,7650
1546326135,38975,208,45.73758,0.49123,23791,434,7650
1546326200,38975,208,45.62251,0.40221,23791,435,7650
1546326261,38975,208,45.51528,0.31988,23791,435,7650
1546326327,39000,208,45.39922,0.23111,23791,436,7650
1546326392,39000,208,45.28220,0.14195,23791,435,7650
1546326453,39000,208,45.17601,0.06130,23791,434,7650
1546326516,38975,207,45.06215,-0.02458,23791,432,7650
